"Entity","Code","Year","Death.rate.from.alzheimer.disease.and.other.dementias.among.both.sexes"
"Albania","ALB",2000,20.83
"Albania","ALB",2001,14.04
"Albania","ALB",2002,16.57
"Albania","ALB",2003,19.36
"Albania","ALB",2004,19.53
"Albania","ALB",2005,20.77
"Albania","ALB",2006,19.69
"Albania","ALB",2007,21.08
"Albania","ALB",2008,20.91
"Albania","ALB",2009,21
"Albania","ALB",2010,20.41
"Albania","ALB",2011,19.64
"Albania","ALB",2012,27.87
"Albania","ALB",2013,27.02
"Albania","ALB",2014,27.79
"Albania","ALB",2015,31.26
"Albania","ALB",2016,35.07
"Albania","ALB",2017,39.39
"Albania","ALB",2018,45.45
"Albania","ALB",2019,52.38
"Albania","ALB",2020,58.96
"Albania","ALB",2021,33.23
"Andorra","AND",2000,41.71
"Andorra","AND",2001,43.36
"Andorra","AND",2002,43.43
"Andorra","AND",2003,43.83
"Andorra","AND",2004,44.93
"Andorra","AND",2005,45.6
"Andorra","AND",2006,45.86
"Andorra","AND",2007,45.21
"Andorra","AND",2008,43.88
"Andorra","AND",2009,41.49
"Andorra","AND",2010,37.99
"Andorra","AND",2011,36.6
"Andorra","AND",2012,38.68
"Andorra","AND",2013,41.18
"Andorra","AND",2014,43.63
"Andorra","AND",2015,46.23
"Andorra","AND",2016,47.6
"Andorra","AND",2017,47.58
"Andorra","AND",2018,47.54
"Andorra","AND",2019,47.04
"Andorra","AND",2020,38.73
"Andorra","AND",2021,45.99
"Armenia","ARM",2000,1.14
"Armenia","ARM",2001,1.15
"Armenia","ARM",2002,1.62
"Armenia","ARM",2003,1.32
"Armenia","ARM",2004,1.17
"Armenia","ARM",2005,1.23
"Armenia","ARM",2006,0.63
"Armenia","ARM",2007,1.23
"Armenia","ARM",2008,1.42
"Armenia","ARM",2009,1.27
"Armenia","ARM",2010,1.57
"Armenia","ARM",2011,0.67
"Armenia","ARM",2012,0.9
"Armenia","ARM",2013,0.8
"Armenia","ARM",2014,0.95
"Armenia","ARM",2015,1.27
"Armenia","ARM",2016,1.03
"Armenia","ARM",2017,1.62
"Armenia","ARM",2018,1.89
"Armenia","ARM",2019,1.86
"Armenia","ARM",2020,1.29
"Armenia","ARM",2021,2.3
"Austria","AUT",2000,3.63
"Austria","AUT",2001,3.83
"Austria","AUT",2002,6.57
"Austria","AUT",2003,8.11
"Austria","AUT",2004,7.75
"Austria","AUT",2005,8.49
"Austria","AUT",2006,9.67
